No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
800,TAL,0.38,1.66,4.11%,11.68%,27.89%,-3.73%,123.47%,67.04,42.84,0.89%,1.30%,-0.40%,4100835
801,TAP,0.76,1.42,1.35%,-9.41%,-21.71%,-36.81%,4.87%,38.1,61.61,-0.06%,-0.05%,-0.02%,1340186
802,TBT,,0.65,-3.23%,-2.13%,1.96%,-7.63%,11.63%,42.29,36.82,1.07%,-0.16%,1.24%,3817312
803,TCF,1.06,0.56,2.61%,9.22%,29.15%,-0.88%,81.96%,62.96,26.53,0.84%,-0.45%,1.29%,1170007
804,TCO,0.56,1.27,0.66%,-1.79%,-2.49%,-17.97%,22.02%,49.68,54.64,0.09%,-0.07%,0.16%,699873
805,TD,0.95,1.28,-0.56%,1.65%,1.68%,-23.24%,22.07%,50.08,57.92,-0.80%,-0.97%,0.17%,1226313
806,TDC,1.16,0.86,2.21%,-0.13%,7.16%,-7.33%,46.77%,55.28,39.7,-0.43%,-0.60%,0.18%,801321
807,TDOC,,1.47,5.43%,14.93%,37.78%,-2.12%,86.08%,69.84,50.8,-0.20%,-0.68%,0.49%,574414
808,TDS,0.8,0.63,-1.34%,-6.06%,-6.42%,-14.03%,9.09%,41.25,25.68,0.51%,0.04%,0.47%,597703
809,TEAM,,1.88,2.20%,8.00%,28.13%,-3.02%,96.47%,60.99,64.01,0.34%,-0.06%,0.41%,1936747
810,TECD,0.88,2.56,8.98%,9.39%,-3.93%,-20.50%,17.29%,75.27,88.33,1.75%,0.62%,1.13%,659201
811,TECK,1.57,0.81,0.77%,3.98%,9.29%,-10.71%,91.37%,54.05,27.5,1.21%,-0.04%,1.25%,2233068
812,TEL,1.07,1.5,0.50%,-1.81%,1.01%,-12.60%,22.61%,49.58,94.59,1.62%,0.66%,0.96%,1276386
813,TELL,1.44,0.65,5.10%,21.31%,14.49%,-16.08%,78.76%,60.89,11.53,3.04%,2.49%,0.54%,1003455
814,TER,1.19,1.18,5.54%,-2.03%,-4.57%,-22.43%,32.45%,55.98,39.31,3.69%,2.50%,1.16%,5614293
815,TEVA,0.72,0.66,7.66%,17.28%,24.66%,-35.27%,101.75%,70.96,21.89,1.81%,1.20%,0.60%,17940110
816,TEX,1.79,1.28,-2.36%,2.81%,-6.74%,-20.33%,21.64%,49.25,39.97,0.99%,-0.07%,1.06%,915444
817,TGI,1.65,1.03,-8.71%,-13.13%,-22.05%,-38.51%,1.90%,37.52,21.4,0.94%,0.23%,0.71%,735236
818,TGT,0.71,1.66,0.55%,1.70%,10.07%,-7.50%,49.92%,51.23,72.8,-0.12%,-0.18%,0.05%,4017208
819,TGTX,1.13,0.6,-0.31%,-3.39%,16.37%,-22.48%,85.52%,46.19,13.45,0.37%,-0.37%,0.75%,850658
820,THC,0.94,1.41,5.80%,26.13%,82.51%,-6.10%,187.59%,68.78,35.23,-0.56%,-0.84%,0.28%,1607671
821,THO,1.29,4.05,-6.19%,-11.36%,-25.64%,-42.41%,3.46%,35.77,93,0.43%,0.11%,0.32%,1496110
822,THS,0.6,1.29,5.20%,16.81%,-3.52%,-43.47%,33.73%,75.75,48.61,1.46%,0.73%,0.73%,726670
823,TJX,0.66,1.65,5.49%,7.76%,17.34%,-0.47%,36.09%,69.56,90.42,0.11%,-0.12%,0.23%,3992148
824,TKR,1.52,1.35,-1.62%,2.19%,0.10%,-14.56%,13.62%,49.35,47.55,0.53%,-0.21%,0.74%,829826
825,TLRD,1.74,1.26,-8.21%,1.41%,44.11%,-15.47%,223.19%,39.77,30.38,-7.41%,-7.49%,0.09%,1721248
826,TMHC,1.38,0.66,-1.84%,-4.97%,-6.62%,-23.33%,10.72%,42.84,21.79,1.35%,0.55%,0.79%,710813
827,TMUS,0.33,1.29,0.53%,-4.49%,-7.52%,-16.98%,4.16%,46.04,56.87,2.10%,1.55%,0.54%,3312442
828,TMV,,0.52,-5.06%,-3.64%,1.57%,-11.98%,15.76%,41.87,19.76,1.54%,-0.30%,1.85%,1048806
829,TNA,,2.57,6.61%,14.27%,22.03%,-0.99%,72.39%,67.57,83.04,2.28%,0.10%,2.18%,2567007
830,TNDM,-0.12,1.04,26.71%,73.27%,187.20%,-5.31%,574.30%,75.5,14.43,2.85%,2.85%,0.00%,1808714
831,TOL,1.36,1.21,-5.42%,-6.88%,-10.88%,-25.03%,8.15%,38.74,39.53,0.10%,-0.60%,0.71%,1454134
832,TOT,0.79,1.02,-1.58%,0.70%,8.01%,-5.09%,27.31%,48.93,61.3,1.07%,-0.57%,1.65%,1220024
833,TPH,1.46,0.51,1.04%,2.42%,5.83%,-11.56%,42.77%,51.91,17.29,0.17%,-0.80%,0.98%,1165554
834,TPR,0.36,1.07,-0.96%,-10.14%,-1.80%,-19.82%,14.99%,37.37,44.5,1.78%,0.98%,0.80%,2542742
835,TPX,1.38,1.63,-3.59%,0.96%,-17.78%,-32.39%,11.95%,43.35,46.01,-0.26%,-1.14%,0.89%,822031
836,TQQQ,,2.07,7.97%,15.32%,23.47%,-7.90%,86.61%,68.74,58.49,4.65%,3.25%,1.36%,9617077
837,TRCO,1.57,0.83,-2.27%,-6.51%,-11.51%,-17.66%,3.39%,36.71,35.99,0.31%,0.17%,0.14%,975612
838,TRGP,1.98,1.19,2.01%,4.38%,5.59%,-6.32%,23.24%,60.76,48.79,0.33%,-0.16%,0.49%,2393017
839,TRI,0.67,0.63,0.97%,-0.25%,-8.51%,-19.56%,7.06%,51.85,39.1,0.72%,0.67%,0.05%,822985
840,TRIP,1.89,1.74,17.64%,28.53%,39.28%,5.81%,87.15%,83.64,55.21,5.89%,5.36%,0.50%,7628838
841,TRMB,2.44,0.87,-0.49%,-1.88%,-12.04%,-24.70%,7.50%,48.35,34.41,4.08%,3.18%,0.88%,1718541
842,TRN,2.03,0.88,-0.83%,3.78%,2.77%,-10.51%,35.40%,50.3,34.23,-0.75%,-1.55%,0.81%,2991318
843,TROX,3.17,0.66,1.67%,-0.90%,-14.11%,-35.95%,41.23%,52.48,18.19,-0.98%,-1.68%,0.71%,1103931
844,TRP,0.68,0.7,-2.97%,-1.99%,-10.86%,-20.00%,5.92%,42.23,41.48,-0.84%,-1.19%,0.36%,1203616
845,TRU,,1.05,0.77%,8.85%,23.64%,-0.99%,68.13%,71.83,69.05,0.66%,0.44%,0.22%,1566983
846,TS,0.67,0.88,-6.26%,-2.53%,12.14%,-10.97%,39.64%,39.15,36.18,0.78%,-0.30%,1.09%,1900633
847,TSCO,1.28,1.76,5.78%,14.79%,14.61%,-9.13%,50.65%,70.04,75.13,1.10%,0.40%,0.70%,1606965
848,TSM,0.93,0.71,0.22%,-3.55%,-3.97%,-15.83%,14.25%,46.38,39.2,1.29%,0.54%,0.75%,5628876
849,TSN,0.18,1.54,-0.04%,-2.49%,-6.78%,-19.56%,19.04%,45.28,68.09,0.92%,0.38%,0.53%,2092043
850,TSRO,1.21,3.31,-2.58%,-10.06%,-42.44%,-69.55%,9.53%,44.35,46.89,2.45%,2.67%,-0.22%,2746189
851,TSS,1.15,1.51,-0.03%,0.33%,9.65%,-4.96%,49.90%,51.68,86.24,1.23%,0.62%,0.61%,762540
852,TSU,1.35,0.63,-4.19%,-11.00%,-5.57%,-19.46%,34.24%,41.19,18.49,3.30%,0.82%,2.46%,1542281
853,TTC,0.64,1.39,-1.11%,-1.98%,-5.91%,-20.09%,4.28%,45.31,59.02,1.76%,1.01%,0.74%,823088
854,TTD,,3.52,19.58%,44.67%,56.76%,-1.32%,112.87%,83.72,86.64,1.30%,0.70%,0.60%,3125772
855,TTM,,0.62,-7.09%,-13.33%,-27.26%,-42.70%,3.88%,32.38,21.42,2.59%,0.80%,1.77%,2335468
856,TTMI,1.81,0.51,7.86%,13.54%,13.28%,-8.55%,40.10%,70.32,17.87,-0.89%,-1.00%,0.11%,1331324
857,TUP,1.55,1.2,-6.13%,-6.97%,-24.50%,-43.41%,2.13%,31.7,41.65,-1.21%,-1.23%,0.02%,616563
858,TV,1.38,0.56,-2.81%,-0.49%,-14.01%,-36.94%,21.55%,45.06,17.26,2.98%,1.77%,1.19%,1559658
859,TVIX,,0.58,-9.28%,-32.47%,-43.08%,-80.28%,9.07%,37.9,5.05,-8.01%,-0.79%,-7.29%,39480171
860,TVTY,0.31,1.37,-8.97%,-11.38%,-11.46%,-30.10%,13.19%,26.65,33.9,-3.28%,-3.83%,0.57%,1858532
861,TWLO,,2.07,11.08%,28.52%,73.09%,1.45%,147.23%,76.89,57.48,6.50%,5.37%,1.07%,3091133
862,TWOU,-0.04,3.07,4.55%,10.91%,36.74%,-2.32%,129.12%,64.38,96.3,1.58%,1.04%,0.54%,620640
863,TWTR,0.89,1.19,11.53%,18.06%,47.06%,-0.41%,133.89%,78.68,36.65,5.62%,4.30%,1.27%,29479639
864,TWX,0.88,1.15,0.28%,-0.85%,-1.85%,-9.63%,9.33%,47.99,93.89,-0.29%,-0.33%,0.04%,3316165
865,TXRH,0.55,1.44,1.14%,1.88%,13.64%,-4.54%,40.01%,54.77,62.01,0.06%,-0.66%,0.73%,622402
866,TXT,1.39,1.05,2.36%,7.59%,17.91%,-0.34%,49.33%,66.69,67.2,0.93%,0.30%,0.63%,1271278
867,UA,,0.65,10.56%,22.64%,33.65%,-11.35%,86.58%,69.83,19.33,2.17%,1.10%,1.06%,2977392
868,UAA,-0.23,0.73,9.74%,19.78%,33.30%,-8.95%,87.37%,67.8,21.36,2.20%,0.75%,1.44%,4463871
869,UAL,0.88,1.68,0.89%,1.10%,5.60%,-16.61%,22.54%,50.5,69.25,-0.49%,-1.07%,0.59%,2315741
870,UCO,,1.27,-13.15%,-6.71%,19.55%,-19.41%,126.01%,36.95,27.94,-4.48%,-2.27%,-2.26%,3463007
871,UCTT,0.94,0.78,6.85%,4.21%,-16.72%,-46.02%,21.59%,60.23,18.67,5.96%,4.59%,1.31%,889823
872,UDOW,,3.15,0.02%,2.76%,4.00%,-23.80%,55.10%,51.36,89.02,2.64%,0.35%,2.28%,1049622
873,UDR,0.35,0.54,2.85%,3.26%,-0.83%,-9.68%,11.83%,63.42,36.77,0.82%,0.14%,0.69%,1670332
874,UGAZ,,3.17,11.53%,17.04%,-15.47%,-55.60%,37.07%,63.87,68.15,1.63%,1.50%,0.12%,1003759
875,UGI,0.59,0.73,2.18%,7.33%,7.43%,-3.00%,18.65%,68.25,50.44,-0.06%,-0.20%,0.14%,636046
876,UGP,1.17,0.52,-5.19%,-21.62%,-37.77%,-48.40%,6.14%,28.25,13.66,1.79%,-0.65%,2.46%,1176080
877,UL,0.8,0.63,-0.01%,0.39%,-0.68%,-7.92%,9.12%,47.81,55.37,0.16%,-0.14%,0.31%,631042
878,UN,0.82,0.64,-0.28%,-0.12%,-1.57%,-9.25%,8.46%,46.44,55.92,0.27%,-0.07%,0.34%,3149554
879,UNM,1.39,1.07,1.59%,-11.07%,-22.08%,-33.39%,5.99%,42.03,39.12,0.80%,-0.33%,1.13%,2314113
880,UNVR,,0.69,1.02%,-0.46%,-4.20%,-13.27%,7.44%,51.74,27.71,1.61%,0.84%,0.77%,690641
881,UPRO,,1.45,2.87%,6.52%,7.83%,-16.86%,41.27%,57.49,47.79,3.15%,1.36%,1.77%,3128217
882,URBN,0.51,1.17,4.79%,8.77%,35.25%,-1.79%,164.35%,64.13,42.8,3.03%,2.34%,0.67%,2054469
883,USAT,0.83,0.59,12.00%,32.28%,61.90%,-4.64%,196.67%,69.01,13.35,-0.74%,-1.48%,0.74%,726486
884,USB,0.94,0.87,0.31%,0.27%,-4.45%,-13.23%,4.68%,51.81,50.76,1.54%,0.51%,1.02%,10247193
885,USFD,,0.75,4.52%,6.51%,18.52%,0.41%,43.33%,64.92,36.45,2.16%,1.22%,0.92%,2074285
886,USG,1.11,0.54,-0.30%,2.30%,15.59%,-1.73%,61.76%,53.44,41.41,-0.17%,-0.53%,0.36%,1089383
887,UVXY,,1.05,-5.69%,-24.14%,-30.76%,-75.17%,37.44%,40.07,11.71,-6.39%,-0.34%,-6.08%,18239146
888,UWT,,2.22,-19.58%,-11.33%,23.18%,-28.02%,202.80%,36.49,30.31,-6.74%,-3.50%,-3.35%,4914987
889,VCEL,3.17,0.72,5.44%,16.69%,94.10%,-2.37%,464.71%,60.84,14.4,7.06%,7.06%,0.00%,3297649
890,VEEV,1.4,2.08,5.16%,8.11%,25.09%,-0.23%,52.92%,66.28,79.78,3.13%,2.28%,0.83%,1492157
891,VEU,,0.51,-1.08%,-0.84%,-0.39%,-8.17%,9.10%,45.96,54.09,0.93%,0.17%,0.77%,3172755
892,VFC,0.92,1.31,2.36%,4.41%,11.72%,-3.61%,52.68%,60.6,81.33,0.21%,-0.29%,0.51%,2099593
893,VGK,,0.65,-1.74%,-1.15%,-0.69%,-8.10%,7.06%,44.82,58.45,0.85%,0.02%,0.83%,3790337
894,VIAB,1.44,0.91,-6.25%,-10.39%,-9.25%,-27.73%,20.70%,31.14,26.71,-1.44%,-1.66%,0.22%,2223240
895,VIPS,2.28,0.54,-10.75%,-20.84%,-4.84%,-37.51%,53.53%,30.13,11.96,2.40%,2.40%,0.00%,11507314
896,VIRT,,1.12,-0.44%,-7.73%,33.94%,-18.49%,135.50%,44.99,30.85,-0.64%,-0.96%,0.32%,591883
897,VIXY,,1.68,-3.22%,-15.58%,-7.70%,-37.86%,37.85%,41.1,29.28,-4.19%,-0.07%,-4.12%,1442171
898,VKTX,,0.81,93.30%,106.60%,155.28%,-4.88%,1007.95%,82.1,9.75,-2.40%,-8.45%,6.61%,22665791
899,VNDA,0.93,0.51,6.29%,10.71%,10.40%,-13.24%,48.74%,65.97,17.7,0.57%,-0.28%,0.85%,540945
900,VNO,0.9,1.25,3.34%,4.75%,-2.06%,-12.68%,10.17%,63.93,70.66,1.36%,1.33%,0.03%,1528025
901,VNOM,0.92,1.22,-3.35%,6.21%,33.61%,-9.60%,105.96%,48.09,30.4,-6.69%,-7.12%,0.46%,1656526
902,VNQ,,0.92,2.38%,4.30%,-0.89%,-8.01%,9.97%,65.72,79.24,0.44%,0.83%,-0.38%,7233775
903,VNTR,,0.5,-1.06%,-2.61%,-16.20%,-34.50%,3.46%,45.11,17.62,0.00%,-0.84%,0.85%,575164
904,VOYA,1.51,1.26,-0.68%,1.06%,12.10%,-5.10%,53.99%,50.44,52.45,0.98%,-0.63%,1.62%,2752577
905,VRX,-0.35,0.64,5.11%,20.13%,29.74%,-9.62%,101.83%,73.63,22.08,0.36%,-0.23%,0.59%,3983289
906,VSH,1.34,0.52,1.32%,8.99%,5.79%,-11.53%,29.85%,59.42,21.1,-0.47%,-1.63%,1.18%,2008251
907,VSM,,0.78,4.74%,7.68%,6.45%,-5.24%,32.51%,66.25,40.5,1.33%,0.47%,0.85%,619819
908,VST,,0.51,4.14%,9.46%,24.31%,-1.44%,65.02%,70.77,24.34,-0.77%,-0.77%,0.00%,4055759
909,VSTO,0.07,0.54,14.85%,4.02%,-6.05%,-34.42%,33.06%,63.97,16.44,-2.95%,-3.52%,0.59%,1272981
910,VTR,0.16,1.07,3.34%,8.08%,-5.50%,-24.21%,17.82%,67.07,54.84,0.33%,0.31%,0.02%,2179989
911,VWO,,0.61,-0.39%,-1.82%,-1.56%,-11.53%,11.97%,46.79,45.11,1.12%,0.62%,0.49%,15672885
912,VXUS,,0.52,-0.88%,-0.64%,-0.07%,-7.81%,9.54%,46.95,56.39,0.91%,0.25%,0.66%,772375
913,VXX,,2.03,-3.60%,-15.87%,-7.78%,-37.70%,37.91%,40.65,35.29,-4.08%,-0.48%,-3.62%,28169347
914,VZ,0.62,0.84,-0.41%,-0.61%,-2.72%,-12.71%,11.71%,46.83,47.81,0.29%,-0.17%,0.46%,9931644
915,W,1.57,3.39,11.14%,26.91%,24.78%,-5.14%,71.68%,75.62,94.99,2.86%,1.72%,1.12%,1795755
916,WAB,0.92,2.11,5.60%,13.67%,25.30%,-0.37%,44.38%,73.55,99.91,2.46%,1.37%,1.08%,847951
917,WATT,1.59,0.83,-1.22%,1.04%,19.79%,-46.21%,160.78%,51.95,18.02,-2.22%,-2.38%,0.16%,627239
918,WBA,1.14,1.41,-1.44%,-2.71%,-11.63%,-25.07%,2.11%,43.46,62.86,0.75%,0.48%,0.27%,3219243
919,WCN,0.19,1.05,3.04%,5.64%,10.13%,0.23%,23.33%,69.2,77.87,1.29%,0.82%,0.47%,702302
920,WDC,1.03,2.49,3.31%,-1.20%,-1.10%,-19.72%,13.05%,51.49,85.87,2.83%,1.97%,0.84%,3736051
921,WDR,1.9,0.5,2.79%,0.41%,-2.22%,-17.42%,17.43%,53,19.67,1.39%,0.25%,1.13%,583654
922,WEC,0.09,0.88,0.38%,-0.12%,-2.94%,-11.09%,5.77%,49.84,62.32,-1.31%,-1.49%,0.17%,2286446
923,WELL,0.24,1.15,3.92%,7.08%,-6.44%,-25.78%,17.02%,65.76,58.02,0.64%,0.83%,-0.19%,1473508
924,WERN,1,1.19,6.45%,8.29%,8.03%,-9.78%,46.18%,65.66,39.65,1.15%,0.25%,0.89%,731435
925,WFC,1.11,1.11,1.13%,3.38%,-2.18%,-17.52%,11.00%,53.98,54.69,1.30%,0.24%,1.06%,14078239
926,WGO,1.81,1.6,-2.74%,-2.72%,-18.34%,-38.62%,48.15%,44.55,36,-0.69%,-1.37%,0.69%,729093
927,WIN,0.11,0.57,-21.95%,-25.53%,-37.50%,-76.31%,1.64%,31.86,5.59,1.45%,1.64%,-0.18%,1469906
928,WIX,1.73,3.08,5.75%,7.52%,29.03%,0.06%,76.82%,61.93,90,3.51%,2.62%,0.86%,1030332
929,WLL,2.99,2.2,8.74%,27.65%,87.18%,-1.41%,235.52%,72.43,53.28,1.64%,1.95%,-0.31%,6572167
930,WM,0.71,1.04,1.12%,0.74%,1.56%,-6.80%,15.77%,54.16,83.63,1.11%,0.54%,0.57%,1541184
931,WMB,1.42,0.53,-1.30%,2.47%,-7.04%,-20.76%,11.17%,50.51,26.68,-0.67%,-1.29%,0.63%,7680461
932,WMGI,0.77,0.74,6.21%,17.25%,5.88%,-16.73%,30.93%,71.75,24.89,-0.28%,-0.48%,0.20%,587077
933,WMT,0.54,1.56,-1.35%,-3.32%,-7.64%,-24.54%,13.48%,43.47,82.99,0.55%,-0.06%,0.61%,5217402
934,WP,0.54,1.45,-1.99%,-1.97%,4.83%,-6.89%,34.75%,44.7,79.64,0.21%,-0.56%,0.78%,1601178
935,WPX,2.24,0.68,0.81%,11.79%,36.00%,-4.37%,119.19%,60.41,18.39,0.99%,0.99%,0.00%,7260414
936,WPZ,1.49,0.89,2.02%,8.17%,4.12%,-10.03%,21.08%,59.03,39.64,-0.40%,-0.95%,0.55%,1557186
937,WR,0.36,0.96,1.48%,4.00%,5.47%,-4.10%,17.04%,55.36,55.08,-2.86%,-2.69%,-0.18%,4436452
938,WRD,,1.3,2.98%,15.86%,57.90%,-7.58%,164.67%,61.86,27.42,2.08%,1.52%,0.56%,1733879
939,WRI,0.6,0.56,3.97%,4.74%,-3.02%,-12.41%,12.97%,61.01,29,-1.09%,-0.96%,-0.14%,812444
940,WRK,,1.25,-0.64%,-3.67%,-2.99%,-15.97%,11.40%,45.23,60.12,2.11%,1.01%,1.09%,2005126
941,WSM,0.76,1.66,9.37%,9.47%,7.96%,-3.22%,27.98%,68.2,54.62,-1.35%,-1.97%,0.63%,3616831
942,WTR,0.44,0.59,0.86%,1.58%,-0.96%,-12.24%,7.46%,53.54,34.71,0.03%,-1.05%,1.10%,714999
943,WTTR,,0.68,-16.10%,-8.16%,-14.63%,-38.75%,19.88%,34.78,13.45,-5.75%,-5.61%,-0.14%,863283
944,WTW,3.23,2.97,1.98%,11.05%,37.67%,-7.31%,197.33%,57.44,77.84,3.35%,2.66%,0.66%,1522694
945,WUBA,1.99,2.89,-2.85%,-0.43%,11.18%,-8.18%,106.27%,48.53,82.55,1.64%,0.62%,1.01%,1500488
946,WWE,1,1.94,18.72%,38.28%,82.74%,-2.58%,193.43%,81.81,58.95,1.83%,1.73%,0.10%,795258
947,WWW,0.97,0.72,6.80%,11.83%,15.55%,0.56%,35.22%,72.24,34.13,1.79%,1.01%,0.78%,674583
948,WY,1.36,0.51,2.87%,4.33%,7.36%,-0.53%,21.78%,67,37.69,0.96%,0.96%,0.00%,3523561
949,X,3.04,1.58,5.78%,6.36%,14.17%,-20.89%,90.84%,60.35,37.69,2.22%,0.83%,1.38%,10740140
950,XBI,,1.86,5.64%,8.12%,11.15%,-1.36%,42.45%,69.64,96.65,2.09%,0.58%,1.50%,5010032
951,XEC,1.19,3.14,-9.04%,-8.59%,-17.79%,-32.32%,0.13%,34.65,88.09,-5.20%,-5.12%,-0.09%,2748941
952,XEL,0.15,0.66,-0.43%,-0.97%,-4.86%,-14.32%,7.78%,46.65,44.74,-1.71%,-1.91%,0.20%,2406546
953,XHB,,0.62,-0.26%,-1.34%,-4.49%,-16.57%,5.94%,45.8,39.38,0.25%,0.03%,0.23%,1710553
954,XLB,,0.8,0.41%,1.70%,0.63%,-7.95%,11.37%,54.38,59.07,1.53%,0.78%,0.74%,3797300
955,XLE,,1.36,0.05%,4.92%,9.40%,-3.82%,23.59%,56.49,76.38,0.47%,0.13%,0.34%,14081950
956,XLI,,1.08,1.01%,1.53%,2.08%,-7.04%,12.41%,54.11,75.26,1.10%,0.52%,0.58%,9677176
957,XLK,,0.9,2.78%,5.89%,10.47%,-0.35%,31.04%,69.95,71.09,1.70%,1.02%,0.67%,12722485
958,XLNX,1.09,1.54,1.55%,2.43%,0.76%,-9.81%,17.05%,54.46,70.37,3.32%,2.13%,1.16%,3212728
959,XLP,,0.56,0.09%,-2.29%,-8.16%,-15.76%,1.86%,43.46,49.66,0.00%,-0.28%,0.28%,10920266
960,XLU,,0.65,0.09%,-0.24%,-4.04%,-12.27%,6.00%,49.04,50.21,-1.53%,-1.28%,-0.25%,17179144
961,XLV,,1.04,1.23%,1.67%,0.49%,-9.18%,9.50%,55.12,83.36,1.15%,0.75%,0.40%,8035440
962,XME,,0.76,2.47%,5.72%,9.69%,-4.49%,35.82%,64.74,37.84,0.88%,0.19%,0.69%,1812411
963,XOG,,0.69,11.59%,25.42%,22.13%,-1.24%,66.93%,73,17.16,1.18%,1.30%,-0.12%,2185876
964,XOM,0.91,1.56,1.83%,4.79%,1.85%,-8.37%,13.41%,58.98,81.83,0.73%,-0.05%,0.78%,9866988
965,XON,1.05,0.73,0.05%,-3.74%,3.86%,-36.21%,60.99%,50.27,16.51,-0.42%,-0.78%,0.36%,1063273
966,XOP,,1.13,0.95%,8.59%,18.70%,-5.81%,45.55%,58.26,42.15,-0.24%,-0.14%,-0.09%,15724065
967,XRAY,1.24,1.19,-7.25%,-11.00%,-24.85%,-37.05%,-0.64%,27.17,43.42,-0.89%,-1.18%,0.30%,3232473
968,XRT,,0.72,1.30%,3.34%,7.03%,-5.03%,23.61%,56.02,46.62,0.54%,0.58%,-0.04%,3840792
969,XRX,1.16,0.7,-3.58%,-5.85%,-10.43%,-26.91%,0.89%,38.75,27.35,0.63%,0.04%,0.59%,2234297
970,XYL,1.1,1.47,0.39%,-3.41%,3.23%,-10.01%,37.73%,47.75,71.84,2.05%,1.01%,1.02%,1030804
971,YELP,1.02,1.39,-3.75%,-1.81%,-1.64%,-10.93%,55.07%,45.87,43.11,0.61%,0.26%,0.35%,1455305
972,YEXT,,0.52,15.79%,25.02%,32.92%,9.55%,60.49%,82.3,16.98,10.33%,8.29%,1.88%,3888345
973,YINN,,1.46,-1.54%,-0.96%,-4.16%,-38.56%,57.07%,49.12,33.11,3.79%,1.91%,1.85%,819194
974,YNDX,2.67,1.04,1.09%,-2.86%,-1.34%,-22.68%,37.93%,48.7,34.4,2.63%,2.08%,0.54%,2815040
975,YPF,1.83,0.64,-8.02%,-13.81%,-18.34%,-32.21%,1.83%,26.3,18.1,-0.33%,-1.04%,0.72%,915729
976,YRD,,1.59,-15.11%,-26.31%,-37.34%,-53.57%,10.88%,25.1,24.84,5.88%,4.90%,0.94%,906037
977,YUM,0.84,1.34,-1.39%,-2.77%,1.65%,-6.99%,15.53%,42.25,81.91,0.71%,0.33%,0.38%,1968508
978,YUMC,,1.04,3.23%,-0.44%,-3.32%,-19.30%,17.22%,54.49,39.34,0.10%,-0.63%,0.74%,2609169
979,Z,,1.94,8.64%,12.35%,30.10%,-1.60%,56.66%,67.07,59.03,1.20%,-1.44%,2.67%,1677685
980,ZAYO,0.5,0.65,0.86%,-1.78%,-2.34%,-8.93%,16.25%,47.23,34.56,-0.69%,-1.20%,0.52%,2723109
981,ZEN,1.55,1.61,2.75%,11.68%,47.21%,-0.82%,130.03%,67.34,56.84,1.70%,0.96%,0.73%,1151324
982,ZION,1.34,1.25,-2.20%,1.72%,9.96%,-5.96%,40.48%,47.19,55.66,1.55%,-0.09%,1.64%,1657259
983,ZOES,0.15,0.82,-37.29%,-37.52%,-36.38%,-48.84%,5.12%,21.26,9.03,-0.55%,-0.55%,0.00%,1089645
984,ZS,,1.2,3.69%,1.26%,0.73%,-19.09%,13.81%,55.27,28.18,7.31%,6.90%,0.38%,849101
985,ZTO,,0.56,15.69%,25.40%,33.39%,-4.56%,63.44%,87.33,20.71,0.58%,0.29%,0.29%,3174547
986,ZTS,0.97,1.6,2.42%,2.44%,15.36%,-1.11%,43.56%,57.93,85.42,2.05%,1.30%,0.74%,1422292
987,ZUO,,1.15,31.23%,32.05%,32.05%,14.98%,40.80%,,26.4,19.03%,14.19%,4.24%,2136670
